STATUS,200
MESSAGEID,M181000I
MESSAGE,正常に終了しました。
DATE,2026-03-03T12:35:21.007+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,JP
PARAMETER,DB,PR01
PARAMETER,STARTDATE,
PARAMETER,ENDDATE,
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES_J,UNIT_J,FREQUENCY,CATEGORY_J,LAST_UPDATE,SURVEY_DATES,VALUES
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196303,48.2
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196304,48.2
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196305,48.3
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196306,48.5
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196307,48.5
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196308,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196309,48.7
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196310,48.7
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196311,48.8
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196312,48.7
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196401,48.7
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196402,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196403,48.5
