STATUS,200
MESSAGEID,M181000I
MESSAGE,正常に終了しました。
DATE,2026-03-03T12:35:22.307+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,JP
PARAMETER,DB,MD01
PARAMETER,STARTDATE,
PARAMETER,ENDDATE,
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES_J,UNIT_J,FREQUENCY,CATEGORY_J,LAST_UPDATE,SURVEY_DATES,VALUES
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198306,210848
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198307,216326
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198308,217429
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198309,208515
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198310,211361
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198311,210419
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198312,247410
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198401,227762
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198402,215757
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198403,220782
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198404,222407
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198405,218588
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198406,218779
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198407,228506
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198408,226340
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198409,221534
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198410,219798
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198411,228555
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198412,258978
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198501,246239
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198502,230575
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198503,238265
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198504,237406
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198505,234171
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198506,233564
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198507,244039
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198508,241269
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198509,234637
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198510,234064
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198511,239461
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198512,276257
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198601,262132
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198602,246712
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198603,252406
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198604,252361
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198605,252227
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198606,251637
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198607,259123
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198608,256055
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198609,249699
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198610,249940
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198611,265139
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198612,300411
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198701,286064
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198702,275165
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198703,282616
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198704,281725
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198705,283774
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198706,282996
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198707,294789
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198708,293357
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198709,286867
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198710,288388
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198711,292520
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198712,331571
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198801,315650
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198802,304378
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198803,315336
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198804,317578
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198805,319577
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198806,312567
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198807,327743
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198808,324104
MABS1AN11,マネタリーベース平均残高,億円,MONTHLY,マネタリーベース,20260303,198809,318235
